loss,delay,fast_recovery,md5_hash,ttc
0.0,20,0,10604d4b20f7507426c10a49c960c63d,0.252269983291626
0.0,20,0,10604d4b20f7507426c10a49c960c63d,0.2500317096710205
0.0,20,0,10604d4b20f7507426c10a49c960c63d,0.25380682945251465
0.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24859046936035156
0.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24942755699157715
0.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24847102165222168
0.0,20,1,10604d4b20f7507426c10a49c960c63d,0.2582085132598877
0.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24864697456359863
0.0,20,1,10604d4b20f7507426c10a49c960c63d,0.2507665157318115
0.0,20,1,10604d4b20f7507426c10a49c960c63d,0.2490406036376953
0.5,20,0,10604d4b20f7507426c10a49c960c63d,0.25086069107055664
0.5,20,0,10604d4b20f7507426c10a49c960c63d,0.24841642379760742
0.5,20,0,10604d4b20f7507426c10a49c960c63d,0.2524597644805908
0.5,20,0,10604d4b20f7507426c10a49c960c63d,0.25128626823425293
0.5,20,0,10604d4b20f7507426c10a49c960c63d,0.2491142749786377
0.5,20,1,10604d4b20f7507426c10a49c960c63d,0.25362610816955566
0.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2505652904510498
0.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2492969036102295
0.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2486891746520996
0.5,20,1,10604d4b20f7507426c10a49c960c63d,0.24658846855163574
1.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24851322174072266
1.0,20,0,10604d4b20f7507426c10a49c960c63d,0.25421810150146484
1.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24690604209899902
1.0,20,0,10604d4b20f7507426c10a49c960c63d,0.23043465614318848
1.0,20,0,10604d4b20f7507426c10a49c960c63d,0.2409219741821289
1.0,20,1,10604d4b20f7507426c10a49c960c63d,0.242628812789917
1.0,20,1,10604d4b20f7507426c10a49c960c63d,0.7450132369995117
1.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24242901802062988
1.0,20,1,10604d4b20f7507426c10a49c960c63d,0.23973345756530762
1.0,20,1,10604d4b20f7507426c10a49c960c63d,0.2409224510192871
1.5,20,0,10604d4b20f7507426c10a49c960c63d,0.24718332290649414
1.5,20,0,10604d4b20f7507426c10a49c960c63d,0.2543361186981201
1.5,20,0,10604d4b20f7507426c10a49c960c63d,0.24909353256225586
1.5,20,0,10604d4b20f7507426c10a49c960c63d,0.24410247802734375
1.5,20,0,10604d4b20f7507426c10a49c960c63d,0.2513704299926758
1.5,20,1,10604d4b20f7507426c10a49c960c63d,0.249375581741333
1.5,20,1,10604d4b20f7507426c10a49c960c63d,0.25437450408935547
1.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2550780773162842
1.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2517111301422119
1.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2499237060546875
2.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24872255325317383
2.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24747943878173828
2.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24807143211364746
2.0,20,0,10604d4b20f7507426c10a49c960c63d,0.379335880279541
2.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24985647201538086
2.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24843955039978027
2.0,20,1,10604d4b20f7507426c10a49c960c63d,0.251539945602417
2.0,20,1,10604d4b20f7507426c10a49c960c63d,1.199709415435791
2.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24593901634216309
2.0,20,1,10604d4b20f7507426c10a49c960c63d,0.2536337375640869
2.5,20,0,10604d4b20f7507426c10a49c960c63d,0.252133846282959
2.5,20,0,10604d4b20f7507426c10a49c960c63d,0.25517773628234863
2.5,20,0,10604d4b20f7507426c10a49c960c63d,0.2535097599029541
2.5,20,0,10604d4b20f7507426c10a49c960c63d,0.24554228782653809
2.5,20,0,10604d4b20f7507426c10a49c960c63d,0.25261378288269043
2.5,20,1,10604d4b20f7507426c10a49c960c63d,0.25269579887390137
2.5,20,1,10604d4b20f7507426c10a49c960c63d,0.24898409843444824
2.5,20,1,10604d4b20f7507426c10a49c960c63d,0.25876808166503906
2.5,20,1,10604d4b20f7507426c10a49c960c63d,0.25321316719055176
2.5,20,1,10604d4b20f7507426c10a49c960c63d,1.8001899719238281
3.0,20,0,10604d4b20f7507426c10a49c960c63d,0.25037670135498047
3.0,20,0,10604d4b20f7507426c10a49c960c63d,0.25846123695373535
3.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24623394012451172
3.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24605274200439453
3.0,20,0,10604d4b20f7507426c10a49c960c63d,0.24589776992797852
3.0,20,1,10604d4b20f7507426c10a49c960c63d,0.2444016933441162
3.0,20,1,10604d4b20f7507426c10a49c960c63d,0.25047874450683594
3.0,20,1,10604d4b20f7507426c10a49c960c63d,0.25197792053222656
3.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24762296676635742
3.0,20,1,10604d4b20f7507426c10a49c960c63d,0.24882197380065918
3.5,20,0,10604d4b20f7507426c10a49c960c63d,0.2482283115386963
3.5,20,0,10604d4b20f7507426c10a49c960c63d,1.2061822414398193
3.5,20,0,10604d4b20f7507426c10a49c960c63d,0.2481081485748291
3.5,20,0,10604d4b20f7507426c10a49c960c63d,0.2508659362792969
3.5,20,0,10604d4b20f7507426c10a49c960c63d,0.2533888816833496
3.5,20,1,10604d4b20f7507426c10a49c960c63d,0.2447359561920166
